"종목명","종가","대비","등락률","종목코드","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률","시장구분","업종명","시가총액"
"쏘카",13290,20,0.15,"403550",NA,NA,95,139.67,5587,2.38,0,0,"KOSPI","일반서비스",436468877580
"코람코라이프인프라리츠",4410,30,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",429248911140
"흥아해운",1780,15,0.85,"003280",165,10.79,NA,NA,950,1.87,0,0,"KOSPI","운송·창고",427956320220
"한세실업",10690,-140,-1.29,"105630",1474,7.25,2021,5.29,18020,0.59,500,4.68,"KOSPI","섬유·의류",4.276e+11
"신세계인터내셔날",12020,60,0.5,"031430",929,12.94,1162,10.34,24300,0.49,400,3.33,"KOSPI","유통",424822860000
"맵스리얼티1",4540,20,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","기타금융",421467862740
"스틱인베스트먼트",10070,-30,-0.3,"026890",256,39.34,NA,NA,6887,1.46,250,2.48,"KOSPI","기타금융",419699222250
"신대양제지",10400,120,1.17,"016590",1126,9.24,NA,NA,19591,0.53,200,1.92,"KOSPI","종이·목재",419097328000
"티웨이항공",1934,-2,-0.1,"091810",NA,NA,NA,NA,382,5.06,0,0,"KOSPI","운송·창고",416542939584
"드림텍",5990,-110,-1.8,"192650",57,105.09,359,16.67,6026,0.99,200,3.34,"KOSPI","전기·전자",412651345590
"넥스틸",15780,470,3.07,"092790",1334,11.83,NA,NA,17880,0.88,250,1.58,"KOSPI","금속",410311560000
"대한제강",17490,160,0.92,"084010",2154,8.12,1466,11.93,45587,0.38,500,2.86,"KOSPI","금속",409517803530
"해성디에스",24050,-150,-0.62,"195870",3453,6.96,2730,8.81,32722,0.73,800,3.33,"KOSPI","전기·전자",4.0885e+11
"KB스타리츠",4025,10,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",408192497125
"한전산업",12470,-60,-0.48,"130660",356,35.03,NA,NA,3552,3.51,367,2.94,"KOSPI","일반서비스",4.06522e+11
"삼성FN리츠",4430,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",403351500000
"더본코리아",27250,-100,-0.37,"475560",2593,10.51,NA,NA,18254,1.49,300,1.1,"KOSPI","유통",402663440000
"영진약품",2185,-15,-0.68,"003520",7,312.14,NA,NA,491,4.45,0,0,"KOSPI","제약",399620617235
"SBS",21500,200,0.94,"034120",1825,11.78,1760,12.22,48749,0.44,0,0,"KOSPI","오락·문화",398851617000
"DB증권",9280,-130,-1.38,"016610",1233,7.53,NA,NA,25569,0.36,400,4.31,"KOSPI","증권",393902489920
"BGF",4090,-25,-0.61,"027410",963,4.25,518,7.9,18202,0.22,130,3.18,"KOSPI","기타금융",391481675190
"남양유업",63600,0,0,"003920",27,2355.56,NA,NA,76517,0.83,100,0.16,"KOSPI","음식료·담배",389953605600
"농심홀딩스",83600,1700,2.08,"072710",16118,5.19,NA,NA,262523,0.32,2500,2.99,"KOSPI","기타금융",387719244000
"자화전자",17780,-210,-1.17,"033240",790,22.51,1601,11.11,19361,0.92,0,0,"KOSPI","전기·전자",386832988080
"HL홀딩스",40950,300,0.74,"060980",2087,19.62,5835,7.02,113030,0.36,2000,4.88,"KOSPI","기타금융",385088763150
"사조대림",41900,250,0.6,"003960",11494,3.65,NA,NA,83132,0.5,300,0.72,"KOSPI","음식료·담배",383991167300
"엘브이엠씨홀딩스",1983,1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","유통",383195776656
"디아이",13500,-130,-0.95,"003160",42,321.43,1668,8.09,5902,2.29,100,0.74,"KOSPI","의료·정밀기기",3.8205e+11
"현대차3우B",162700,-500,-0.31,"005389",NA,NA,NA,NA,NA,NA,12050,7.41,"KOSPI","운송장비·부품",378676440400
"한섬",16730,120,0.72,"020000",2077,8.05,2506,6.68,65470,0.26,750,4.48,"KOSPI","섬유·의류",375383507310
"대상홀딩스",10290,-10,-0.1,"084690",548,18.78,NA,NA,20676,0.5,270,2.62,"KOSPI","기타금융",372627016020
"INVENI",61500,1000,1.65,"015360",6789,9.06,NA,NA,111347,0.55,4000,6.5,"KOSPI","일반서비스",3.69e+11
"현대퓨처넷",3345,-5,-0.15,"126560",63,53.1,NA,NA,6684,0.5,110,3.29,"KOSPI","통신",368628851025
"국도화학",39750,150,0.38,"007690",1032,38.52,3752,10.59,98042,0.41,600,1.51,"KOSPI","화학",368118072000
"SGC에너지",25500,-300,-1.16,"005090",4513,5.65,NA,NA,52585,0.48,1700,6.67,"KOSPI","전기·가스",367437991500
"두산2우B",406000,-1000,-0.25,"000157",NA,NA,NA,NA,NA,NA,2000,0.49,"KOSPI","기타금융",362573428000
"KISCO홀딩스",25550,-700,-2.67,"001940",2548,10.03,NA,NA,93328,0.27,1800,7.05,"KOSPI","금속",362206509000
"한일현대시멘트",18700,60,0.32,"006390",3107,6.02,NA,NA,22323,0.84,900,4.81,"KOSPI","비금속",361427466400
